year,artist,dates,rank,times_in_top10,rank_overall
2017,HyunA,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Sam Smith,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,ØMI,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"BTS, Charli XCX",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Lewis Capaldi,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"J Balvin, Khalid",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,TAEMIN,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Sandeul,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,iKON,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,2PM,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Jessi,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Joosiq,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,V,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,GIRIBOY,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,OVAN,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Sam Ryder,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Travis Scott,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Majestic, Boney M.",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
